시도명,시군구명,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
전라북도,완산구,341123,10694,14801,15998,22937,27144,22668,18230,22103,23718,30528,29461,28171,23259,16563,12737,9887,6982,3650,1269,269,54
전라북도,덕진구,320963,13338,17277,16717,19529,26284,21805,18854,24573,25003,27727,25189,23474,18728,13451,10716,8516,5863,2791,917,185,26
전라북도,군산시,270635,9527,13004,12331,14963,18242,14823,14339,19945,20205,23831,21460,21597,19805,14572,11731,9363,6235,3335,1071,225,31
전라북도,익산시,290119,8934,11918,12482,17807,23582,18320,14138,17644,18943,23700,24254,24787,21634,15603,12267,10574,7705,4144,1383,272,28
전라북도,정읍시,107348,2848,3982,4224,5360,5833,5030,4490,5571,6628,8363,8741,9345,8753,6758,6511,6326,5006,2567,814,176,22
전라북도,남원시,77690,2271,2918,3222,3518,3503,3287,2998,3857,4535,6151,6686,6896,6530,5284,4807,4620,3779,1957,679,169,23
전라북도,김제시,80422,1888,2731,2750,3018,3804,3813,3347,4178,4403,5520,6053,7265,7248,6014,5379,5312,4302,2461,770,157,9
전라북도,완주군,96212,3257,4359,4132,5774,7482,5103,4673,6379,6321,7115,7143,7670,7031,5367,4528,4163,3341,1633,606,120,15
전라북도,진안군,23013,653,683,635,719,885,870,778,973,1066,1483,1857,2285,2245,1908,1793,1772,1441,696,221,46,X
전라북도,무주군,22852,492,746,821,864,778,868,803,969,1205,1598,1882,2166,2191,1820,1526,1776,1388,677,223,50,9
전라북도,장수군,21267,492,733,767,950,822,811,792,989,1066,1386,1689,1920,1978,1774,1427,1581,1243,624,177,42,X
