"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(읍면동)",합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상
"행정구역별(읍면동)",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"달서구",574390,18705,24491,25591,33843,43259,40290,32799,39795,41635,52055,53866,52382,40983,27102,18248,14526,9300,4098,1205,196,21,566712,16565,23882,25233,31290,43002,40307,32587,36617,40896,49091,53289,51001,43257,29638,19777,14372,9753,4575,1328,226,26
"달성군",258474,15230,15127,11797,11725,13863,16661,19986,25514,21592,20836,20049,19944,16020,10389,7156,5719,4051,2027,657,120,11,261013,14196,15472,12397,11107,13576,16334,19363,24460,22808,20848,20428,20009,17307,11612,7932,5774,4193,2285,742,152,18
"인천광역시",2952237,111320,133686,130218,148004,187191,217524,195774,239555,228183,258677,256421,258996,208358,126286,95646,73266,48528,23659,8679,1993,273,2945454,100431,131940,131690,137257,183896,218574,194775,225743,230990,251386,255672,255044,222461,141056,101005,74691,50540,26186,9644,2184,289
"읍부",21707,610,817,945,1621,991,1090,895,1284,1345,1762,1707,1903,1859,1332,1248,1070,753,348,98,26,X,21601,600,826,980,1211,1011,1097,894,1205,1354,1718,1745,1890,1934,1493,1252,1090,754,406,115,24,X
"면부",62568,1258,1530,1586,1535,2531,2967,2411,2760,2931,3749,4752,6719,7367,5346,4898,4220,3321,1838,660,162,27,63711,1208,1481,1626,1601,2529,2879,2455,2589,2907,3622,4669,6579,7767,5965,5248,4311,3352,2013,696,188,26
"동부",2867962,109452,131339,127687,144848,183669,213467,192468,235511,223907,253166,249962,250374,199132,119608,89500,67976,44454,21473,7921,1805,243,2860142,98623,129633,129084,134445,180356,214598,191426,221949,226729,246046,249258,246575,212760,133598,94505,69290,46434,23767,8833,1972,261
"중구",131863,5440,6424,5988,6509,6931,10633,9318,11636,11307,11622,9792,9209,8635,5865,4934,3684,2253,1105,449,111,18,138586,5280,6679,6390,6642,7130,11576,10176,11503,12061,12019,10541,9510,9057,6629,5235,3895,2360,1299,471,115,18
"동구",63003,1881,2477,2431,2643,3301,3409,3305,4608,4819,5253,4903,5294,5447,3976,3498,2821,1772,819,279,59,8,61285,1528,2280,2405,2526,3241,3355,2936,4053,4694,5125,4861,5051,5474,4262,3577,2875,1790,875,310,64,X
"연수구",374413,16914,20536,19990,23720,26458,26827,25428,31549,30778,34594,31682,30579,21680,11541,8238,6339,4310,2236,803,186,25,390260,17054,22326,21399,21086,26655,27710,26992,32774,33316,35265,33023,31254,24445,13632,8892,6423,4491,2419,876,204,24
"남동구",533119,20252,25507,24326,25655,32019,39396,35446,45259,43306,47084,45633,45916,37105,23060,16867,12525,7927,3898,1535,355,48,528927,17767,24683,24417,24370,31535,39194,34818,41446,43593,45605,45487,44972,39512,25731,18062,12906,8415,4293,1678,383,60
